variable name,description,unit,values,value labels,classification_scheme,required
building_identifier,A unique building identifier column.,text,text,"e.g. 001, 002, 003",None,TRUE
country,The country where the building is located.,country name,text,e.g. CA for Canada,ISO 3166-1 alpha-2 code (two-letter country codes defined in ISO 3166-1).,TRUE
city,The city where the building is located.,city name,first three letters of city names,e.g. TOR for Toronto,None,TRUE
quality_or_stage_of_data,"Communicates the quality or stage of building drawings, demonstrating the level of completion of construction documents, such as Issued for Construction or Issued for Building Permit. ",text,"[Concept sketch design, <33% design development, 33% design development, 50% design development, 66% design development, 95% design development, Issued for Tender, Issued for Building Permit, Issued for Tender and Building Permit, Issued for Construction, Issued as Record Drawings]","[00CSD, L33DD, G33DD, 050DD, 066DD, 095DD, 00IFT, 0IFBP, IFTBP, 00IFC, 0IARC]",Canadian Construction Association’s classification for the level of construction documents completion (https://www.cca-acc.com/wp-content/uploads/2016/07/GuideCostPredictability.pdf),TRUE
construction_date,"It is the year (or projected year) of completion. For renovated buildings, construction date is the year the building was originally constructed.",year,integer value,NA,Gregorian calendar. https://en.wikipedia.org/wiki/Gregorian_calendar,TRUE
building_type,"Shows the type of building that is quantified (e.g. single detached (SND), institutional (INS), educational (EDU)).",text,structured text (see value labels),"[APB, INS, OFF, EDU, SND, SMD, ADU, SEC, ROW, MIX]",None,TRUE
contributor_name,Identity of the contributor who added each subsequently-submitted column.,text,text,N/A,None,TRUE
floor_level,"Describes the floor or part of building where the material is placed. 00R is for roof, 999 represents the whole building. Underground floors are named based on purpose of use (i.e. basement or parking), and basements are denoted with letter B (e.g. B01) while parking is denoted with letter P (e.g. P02). Foundation is 00F, ground floor is 000, mezzanine floors are denoted with letter M (i.e., M00), and above-ground floors are 001, 002, 003, etc.",text,structured text (see value labels),"[…, 0P3, 0P2, 0B1, 00F, 000, 001, 002, 003, …, 00R, 999]",None,TRUE
uf_level_1,"Major categories of construction information separated by their special function, according to UniFormat (e.g., Substructure, Shell and Interiors).",text,text [selection from UniFormat Level 1 items],UniFormat Level 1 codes,UniFormat - A Uniform Classification of Construction Systems and Assemblies developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC),TRUE
uf_level_2,"UniFormat Level 1 categories divided into classes by separating the categories into the discrete concepts that compose them (e.g., Foundations, Slabs-on-Grade).",text,text [selection from UniFormat Level 2 items],UniFormat Level 2 codes,UniFormat - A Uniform Classification of Construction Systems and Assemblies developed by the Constructions Specification Institute (CSI) and Construction Specifications Canada (CSC),TRUE
