sid,Country,Region,construction_period_start,construction_period_end,steel,copper,aluminum,unspecified_metal,wood,paper_cardboard,straw,concrete,cement,aggregates,brick,mortar_plaster,mineral_fill,plaster_board_gypsum,Adobe,asphalt,bitumen,natural_stone,cement_asbestos,Clay,glass,siding_unspecified,Ceramics,plastics,polystyrene,PVC,Linoleum,Carpet,Heraklith,mineral wool,insulation_unspecified,other_unspecified_material,building_description,no_floors,occupation,building_type,measurement_type,urban_rural,floor_area_type,Authors,publication_year,publication_title,publication_outlet,copyright_publication,DOI,URL,comment_scope,comment_conversion,comment_aggregation,comment_primary,comment_secondary,data_entry,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
1,CA,TOR,2021,2021,1357.314744,0,0.0,0,26651.253470000003,0,0,240074.58000000002,0.0,74711.10999999999,42184.2,10771.0,0,14428.049999999997,0,1578.01,3914.0,0.0,0,0,1080.53,0.0,0,100.39506999999999,0,0,0,0,0,14039.242,535.846,0.0,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
2,CA,TOR,2021,2021,125.8702,0,0.0,0,24500.024000000005,0,0,145444.207,0.0,39270.8,6841.52,1005.765,0,8114.757,0,1815.3,1214.32,0.0,0,0,1498.17,6606.889999999999,0,96.75476,0,0,0,0,0,271.934,711.8312000000001,76.86307,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
3,CA,TOR,2021,2021,424.35308,0,87.0468,0,27604.9613,0,0,223547.38100000002,0.0,37478.96,0.0,2707.2,0,8303.092999999999,0,0.0,0.0,17395.1,0,0,4276.007,2750.08,0,131.15422999999998,0,0,0,0,0,5363.7029999999995,237.816,127.41486,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
4,CA,TOR,2021,2021,285.51826,0,0.0,0,19798.3486,0,0,83333.46489999998,0.0,17222.1,29650.64,7570.739,0,7221.706999999999,0,1553.89,1410.53,0.0,0,0,875.542,1287.3216000000002,0,119.68153000000001,0,0,0,0,0,611.06,622.377,32.886900000000004,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
5,CA,TOR,2011,2011,767140.1362659388,0,0.0,0,0.0,0,0,12132179.800000003,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,11,,OFF,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,34339328.0,34339328.0,0.08,0.08,1788650000000.0,1788650000000.0,,
6,CA,TOR,2011,2011,459092.4621499998,0,0.0,0,0.0,0,0,14243186.0425,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,15,,APB,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,34339328.0,34339328.0,0.08,0.08,1788650000000.0,1788650000000.0,,
7,CA,TOR,2021,2021,1041.6057099999998,0,0.0,0,32075.335770000005,0,0,165272.68399999998,0.0,32874.630000000005,0.0,952.538,0,10023.624,0,1980.7,2095.83,6120.51,0,0,1275.969,6686.78,0,132.78468999999998,0,0,0,0,0,7342.697,0.0,35.965811,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
8,CA,TOR,2021,2021,44.00918,0,0.0,0,25660.7419,0,0,162304.438,0.0,49982.6,26340.0,5786.9,0,7428.612000000001,0,3095.97,693.576,11576.56,0,0,846.446,0.0,0,121.46764,0,0,0,0,0,6880.723999999999,28.6779,0.718355,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
9,CA,TOR,2021,2021,3731.0655100000004,0,0.0,0,44299.376999999986,0,0,292593.60000000003,0.0,104258.7,33958.9,10977.95,0,15895.77,0,5044.31,4970.21,14824.7,0,0,24.6141,0.0,0,129.34259,0,0,0,0,0,9367.918,0.0,493.0451,,5,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
10,CA,TOR,2021,2021,208.23671000000002,0,0.0,0,27068.351899999987,0,0,116922.38499999998,0.0,26999.0,44827.9,11446.0,0,9763.178000000002,0,93.5472,2190.413,0.0,0,0,761.47,0.0,0,252.03390000000002,0,0,0,0,0,4695.798,0.0,85.07122,,6,,SND,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,39110000.0,39110000.0,0.13,0.13,1736430000000.0,1736430000000.0,,
11,CA,TOR,2009,2009,3457571.3136530006,0,0.0,0,0.0,0,0,96226976.47999994,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,,34,,OFF,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,33628895.0,33628895.0,0.2,0.2,1371150000000.0,1371150000000.0,,
12,CA,TOR,1917,1917,314.88480000000004,0,0.0,0,13839.221000000001,0,0,118990.76000000001,0.0,21457.0,13691.1,3495.77,0,5000.094999999999,0,1027.34,1466.74,0.0,0,0,121.7367,0.0,0,1488.454,0,0,0,0,0,1993.1639999999998,207.912,210.6351,,5,,SMR,Case study,Urban,,Shoshanna Saxe Research Group,2021,A Construction Classification System Database for Understanding Resource Use in Building Construction,,,,,,,NA,Material quantities were obtained through performing take offs directly from the building drawings.,,,Northern America,Dfb,4859,,,,,9984670,,,,,,,,
