Building Type,Occupation,Building Code,Type
Apartment building,Residential,APB,Mid to high rise buildings
Commercial,Commercial,OFF,Mid to high rise buildings
Detached accessory dwelling unit,Residential,ADU,Other
Educational building,Educational,EDU,Mid to high rise buildings
Institutional,Public,INS,Mid to high rise buildings
Laneway suite,Residential,LNW,Laneway suites
Mixed use,Mixed-use,MIX,Mid to high rise buildings
Public toilet (public facility),Commercial,PUF,Other
Renovated semi detached,Residential,SMR,Renovated single family dwellings
Renovated single detached,Residential,SNR,Renovated single family dwellings
Secondary unit,Residential,SEC,Other
Semi detached,Residential,SMD,Newly constructed single family dwellings
Single detached,Residential,SND,Newly constructed single family dwellings
Townhouse,Residential,TWN,Mid to high rise buildings
