Title,Code
Concrete,03
Masonry,04
Metals,05
WoodPlasticsAndComposites,06
ThermalAndMoistureProtection,07
Finishes,09
Openings,08
Earthwork,31
ExteriorImprovements,32
Concrete Forming and Accessories,03 10  
Concrete Reinforcing,03 20  
Cast-in-Place Concrete,03 30  
Precast Concrete,03 40  
Cast Decks and Underlayment,03 50 
Grouting ,03 60 
Mass Concrete,03 70 
Concrete Cutting and Boring,03 80 
Common Work Results for Masonry,04 05 
Unit Masonry,04 20 
Stone Assemblies,04 40 
Refractory Masonry,04 50 
Corrosion-Resistant Masonry ,04 60 
Manufactured Masonry,04 70 
Structural Metal Framing,05 10 
Metal Joists,05 20 
Metal Decking,05 30 
Cold-Formed Metal Framing,05 40 
Metal Fabrications,05 50 
Decorative Metal,05 70 
Rough Carpentry,06 10 
Finish Carpentry,06 20 
Architectural Woodwork,06 40 
Structural Plastics,06 50 
Plastic Fabrications,06 60 
Structural Composites,06 70 
Composite Fabrications,06 80 
Dampproofing and Waterproofing,07 10 
Thermal Protection,07 20 
Weather Barriers,07 25 
Steep Slope Roofing,07 30 
Roofing and Siding Panels,07 40 
Membrane Roofing,07 50 
Flashing and Sheet Metal,07 60 
Roof and Wall Specialties and Accessories ,07 70 
Fire and Smoke Protection,07 80 
Joint Protection,07 90 
Doors and Frames,08 10 
Specialty Doors and Frames,08 30 
"Entrances, Storefronts, and Curtain Walls ",08 40 
Windows,08 50 
Roof Windows and Skylights,08 60 
Hardware,08 70 
Glazing,08 80 
Louvers and Vents,08 90 
Plaster and Gypsum Board,09 20 
Tiling ,09 30 
Ceilings ,09 50 
Flooring ,09 60 
Wall Finishes ,09 70 
Acoustic Treatment ,09 80 
Painting and Coating ,09 90 
Site Clearing,31 10 
Earth Moving,31 20 
Earthwork Methods,31 30 
Shoring and Underpinning,31 40 
Excavation Support and Protection,31 50 
Special Foundations and Load-Bearing Elements,31 60 
Tunneling and Mining,31 70 
"Bases, Ballasts, and Paving",32 10 
Site Improvements,32 30 
Wetlands,32 70 
Irrigation,32 80 
Planting,32 90 
Concrete Forming,03 11 
Concrete Accessories,03 15 
Reinforcement Bars,03 21 
Fabric and Grid Reinforcing,03 22 
Stressed Tendon Reinforcing,03 23 
Fibrous Reinforcing,03 24 
Composite Reinforcing,03 25 
Structural Concrete,03 31 
Architectural Concrete,03 33 
Low Density Concrete,03 34 
Concrete Finishing,03 35 
Specialty Placed Concrete,03 37 
Post-Tensioned Concrete,03 38 
Concrete Curing,03 39 
Precast Structural Concrete,03 41 
Precast Architectural Concrete,03 45 
Site-Cast Concrete,03 47 
Precast Concrete Specialties,03 48 
Glass-Fiber-Reinforced Concrete,03 49 
Cast Roof Decks,03 51 
Lightweight Concrete Roof Insulation,03 52 
Concrete Topping,03 53 
Cast Underlayment,03 54 
Cementitious Grouting,03 61 
Non-Shrink Grouting,03 62 
Epoxy Grouting,03 63 
Injection Grouting,03 64 
Mass Concrete for Raft Foundations,03 71 
Mass Concrete for Dams,03 72 
Concrete Cutting,03 81 
Concrete Boring,03 82 
Selective Demolition for Masonry,04 05 05
Masonry Mortaring,04 05 13
Masonry Grouting,04 05 16
Masonry Anchorage and Reinforcing,04 05 19
Masonry Strengthening,04 05 21
Masonry Accessories,04 05 23
Clay Unit Masonry,04 21 
Concrete Unit Masonry,04 22 
Glass Unit Masonry,04 23 
Adobe Unit Masonry,04 24 
Unit Masonry Panels,04 25 
Single-Wythe Unit Masonry,04 26 
Multiple-Wythe Unit Masonry,04 27 
Concrete Form Masonry Units,04 28 
Engineered Unit Masonry,04 29 
Exterior Stone Cladding,04 42 
Stone Masonry,04 43 
Flue Liner Masonry,04 51 
Combustion Chamber Masonry,04 52 
Castable Refractory Masonry,04 53 
Refractory Brick Masonry,04 54 
Masonry Fireplaces,04 57 
Chemical-Resistant Brick Masonry,04 61 
Vitrified Clay Liner Plate,04 62 
Manufactured Brick Masonry,04 71 
Cast Stone Masonry,04 72 
Manufactured Stone Masonry,04 73 
Structural Steel Framing,05 12 
Structural Stainless-Steel Framing,05 13 
Structural Aluminum Framing,05 14 
Wire Rope Assemblies,05 15 
Structural Cabling,05 16 
Structural Rod Assemblies,05 17 
Tension Rod and Cable Truss Assemblies,05 19 
Steel Joist Framing,05 21 
Aluminum Joist Framing,05 25 
Steel Decking,05 31 
Aluminum Decking,05 33 
Acoustical Metal Decking,05 34 
Raceway Decking Assemblies,05 35 
Composite Metal Decking,05 36 
Structural Metal Stud Framing,05 41 
Cold-Formed Metal Joist Framing,05 42 
Slotted Channel Framing,05 43 
Cold-Formed Metal Trusses,05 44 
Metal Support Assemblies,05 45 
Metal Stairs,05 51 
Metal Railings,05 52 
Metal Gratings,05 53 
Metal Floor Plates,05 54 
Metal Stair Treads and Nosings,05 55 
Metal Castings,05 56 
Formed Metal Fabrications,05 58 
Metal Specialties,05 59 
Decorative Metal Stairs,05 71 
Decorative Metal Railings,05 73 
Decorative Metal Castings,05 74 
Decorative Formed Metal,05 75 
Decorative Forged Metal,05 76 
Decorative Extruded Metal,05 77 
Wood Framing,06 11 
Structural Panels,06 12 
Heavy Timber Construction,06 13 
Treated Wood Foundations,06 14 
Wood Decking,06 15 
Sheathing,06 16 
Shop-Fabricated Structural Wood,06 17 
Glued-Laminated Construction,06 18 
Millwork,06 22 
Prefinished Paneling,06 25 
Board Paneling,06 26 
Architectural Wood Casework,06 41 
Wood Paneling,06 42 
Wood Stairs and Railings,06 43 
Ornamental Woodwork,06 44 
Wood Trim,06 46 
Wood Frames,06 48 
Wood Screens and Shutters,06 49 
Structural Plastic Shapes and Plates,06 51 
Plastic Structural Assemblies,06 52 
Plastic Decking,06 53 
Cast Polymer Fabrications,06 61 
Plastic Foam Fabrications,06 62  
Plastic Railings,06 63 
Plastic Trim,06 65 
Custom Ornamental Simulated Woodwork,06 66 
Structural Composite Shapes and Plates,06 71 
Composite Structural Assemblies,06 72 
Composite Decking,06 73 
Composite Gratings,06 74 
Composite Railings,06 81 
Composite Trim,06 82 
Composite Paneling,06 83 
Dampproofing,07 11 
Built-Up Bituminous Waterproofing,07 12 
Sheet Waterproofing,07 13 
Fluid-Applied Waterproofing,07 14 
Sheet Metal Waterproofing,07 15 
Cementitious and Reactive Waterproofing,07 16 
Bentonite Waterproofing,07 17 
Traffic Coatings,07 18 
Water Repellents,07 19 
Thermal Insulation,07 21 
Roof and Deck Insulation,07 22 
Exterior Insulation and Finish Systems,07 24 
Vapor Retarders,07 26 
Air Barriers,07 27 
Shingles and Shakes,07 31 
Roof Tiles,07 32 
Natural Roof Coverings,07 33 
Roof Panels,07 41 
Wall Panels,07 42 
Faced Panels,07 44 
Siding,07 46 
Built-Up Bituminous Roofing,07 51 
Modified Bituminous Membrane Roofing,07 52 
Elastomeric Membrane Roofing,07 53 
Thermoplastic Membrane Roofing,07 54 
Protected Membrane Roofing,07 55 
Fluid-Applied Roofing,07 56 
Coated Foamed Roofing,07 57 
Roll Roofing,07 58 
Sheet Metal Roofing,07 61 
