Code,Category
A,Substructure
B,Shell
C,Interiors
D,Services
E,Equipment and Furnishings
F,Special Construction And Demolition
G,Sitework
A10,Foundations
A20,Subgrade Enclosures
A40,Slabs-On-Grade
A50,Substructure Interior
A60,Water And Gas Mitigation
A90,Substructure Related Activities
B10,Superstructure
B20,Exterior Vertical Enclosures
B30,Exterior Horizontal Enclosures
C10,Interior Construction
C20,Interior Finishes
D10,Conveying
D20,Plumbing
D30,"Heating, Ventilation, and Air Conditioning (HVAC)"
D40,Fire Protection
D50,Electrical
D60,Communications
D70,Electronic Safety And Security
D80,Integrated Automation
E10,Equipment
E20,Furnishings
F10,Special Construction
F20,Facility Remediation
F30,Demolition
G10,Site Preparation
G20,Site Improvements
G30,Liquid And Gas Site Utilities
G40,Electrical Site Improvements
G50,Site Communications
G90,Miscellaneous Site Construction
A1010,Standard Foundations
A1020,Special Foundations
A2010,Walls for Subgrade Enclosures
A4010,Standard Slabs-on-Grade
A4020,Structural Slabs-on-Grade
A4030,Slab Trenches
A4040,Pits and Bases
A4090,Slab-On-Grade Supplementary Components
A5010,Floor Construction
A5020,Interior Partitions
A5030,Ceiling Finishes
A6010,Building Subdrainage
A6020,Off-Gassing Mitigation
A9010,Substructure Excavation
A9020,Construction Dewatering
A9030,Excavation Support
A9040,Soil Treatment
B1010,Floor Construction
B1020,Roof Construction
B1080,Stairs
B2010,Exterior Walls
B2020,Exterior Windows
B2050,Exterior Doors and Grilles
B2070,Exterior Louvers and Vents
B2080,Exterior Wall Appurtenances
B2090,Exterior Wall Specialties
B3010,Roofing
B3020,Roof Appurtenances
B3040,Traffic Bearing Horizontal Enclosures
B3060,Horizontal Openings
B3080,Overhead Exterior Enclosures
C1010,Interior Partitions
C1020,Interior Windows
C1030,Interior Doors
C1040,Interior Grilles and Gates
C1060,Raised Floor Construction
C1070,Suspended Ceiling Construction
C1090,Interior Specialties
C2010,Wall Finishes
C2020,Interior Fabrications
C2030,Flooring
C2040,Stair Finishes
C2050,Ceiling Finishes
C2090,Interior Finish Schedules
D1010,Vertical Conveying Systems
D1030,Horizontal Conveying
D1050,Material Handling
D1080,Operable Access Systems
D2010,Domestic Water Distribution
D2020,Sanitary Drainage
D2030,Building Support Plumbing Systems
D2050,General Service Compressed-Air
D2060,Process Support Plumbing Systems
D3010,Facility Fuel Systems
D3020,Heating Systems
D3030,Cooling Systems
D3050,Facility HVAC Distribution Systems
D3060,Ventilation
D3070,Special Purpose HVAC Systems
D4010,Fire Suppression
D4030,Fire Protection Specialties
D5010,Facility Power Generation
D5020,Electrical Service and Distribution
D5030,General Purpose Electrical Power
D5040,Lighting
D5080,Miscellaneous Electrical Systems
D6010,Data Communications
D6020,Voice Communications
D6030,Audio-Video Communication
D6060,Distributed Communications and Monitoring
D6090,Communications Supplementary Components
D7010,Access Control and Intrusion Detection
D7030,Electronic Surveillance
